Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Q1 Freq (Hz)	Q3 Freq (Hz)	Avg Power (dB)	Begin Date	Delta Time (s)	Begin File	Begin Path	Center Freq (Hz)	Delta Freq (Hz)	Notes
112	Spectrogram 1	1	244.788424706	281.838661395	1538.4	4265.7	2562.5	2928.5	56.1		37.050	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2756.2	2727.3	AFBB_s
113	Spectrogram 1	1	228.002827193	281.833398177	5432.7	5555.1	5469.4	5512.5	46.2		53.831	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	5491.0	122.4	INSECT_s
114	Spectrogram 1	1	253.437952278	255.356888839	2202.8	3111.8	2627.1	2842.4	68.1		1.919	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2734.7	909.0	PUTB_1
115	Spectrogram 1	1	258.801133950	260.424849502	2272.7	3181.8	2691.7	2885.4	66.6		1.624	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2799.3	909.1	PUTB_1
116	Spectrogram 1	1	271.688088867	273.607025429	979.0	1853.1	1356.6	1442.7	58.2		1.919	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	1399.7	874.1	GRJF_1
117	Spectrogram 1	1	281.627196186	299.586474263	629.4	1048.9	818.3	882.9	45.2		17.959	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	861.3	419.5	INSB_4
118	Spectrogram 1	1	282.955690729	283.744057705	2517.5	6048.9	3553.0	3897.5	51.8		0.788	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3639.1	3531.4	AFBB_1
119	Spectrogram 1	1	289.902264648	290.385419468	1783.2	5419.5	3423.8	4242.0	49.8		0.483	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3703.7	3636.3	AFBB_1
120	Spectrogram 1	1	293.972943815	294.355657240	1643.3	5559.4	2950.0	3596.0	53.8		0.383	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3036.2	3916.1	AFBB_1
121	Spectrogram 1	1	297.695701685	298.257979720	1608.4	5419.5	3273.0	4112.8	52.3		0.562	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3639.1	3811.1	AFBB_1
122	Spectrogram 1	1	291.566303505	299.045235746	222.5	531.6	301.5	344.5	49.2		7.479	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	323.0	309.1	TRAIN_1
123	Spectrogram 1	1	282.020824199	299.999954649	5428.5	5545.9	5469.4	5512.5	42.8		17.979	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	5491.0	117.4	INSECT_s
124	Spectrogram 1	1	284.158481606	286.766267190	939.5	1804.8	1356.6	1442.7	56.2		2.608	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	1421.2	865.3	GRJF_1
125	Spectrogram 1	1	284.552109619	289.029628263	1705.9	5142.5	2540.9	3574.5	51.6		4.478	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2971.6	3436.6	ORHT_2
126	Spectrogram 1	1	290.505733310	293.851571418	1434.0	4821.1	2497.9	2756.2	51.4		3.346	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2605.5	3387.1	ORHT_2
127	Spectrogram 1	1	295.990887333	297.295816528	2202.8	4160.8	2497.9	2993.1	54.9		1.305	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	2691.7	1958.0	ORHT_1
128	Spectrogram 1	1	298.378293563	299.952805613	1854.3	5192.0	3466.8	4199.0	51.5		1.575	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	3768.3	3337.7	UNID_3
129	Spectrogram 1	1	298.427497064	299.999954649	1038.4	1705.9	1356.6	1442.7	56.4		1.572	P03929TEA1_20170505_070001.wav	D:\IISER Work\Kadumane\drive-download-20170731T164806Z-001\P03929TEA1_20170505_070001.wav	1421.2	667.5	GRJF_1
